,代码,名称
528,sh600361,XD创新新
529,sh600362,江西铜业
530,sh600363,XD联创光
531,sh600365,ST通葡
532,sh600366,宁波韵升
533,sh600367,红星发展
534,sh600368,五洲交通
535,sh600369,西南证券
536,sh600370,三房巷
537,sh600371,万向德农
538,sh600372,中航机载
539,sh600373,中文传媒
540,sh600375,*ST汉马
541,sh600376,首开股份
542,sh600377,宁沪高速
543,sh600378,昊华科技
544,sh600379,宝光股份
545,sh600380,健康元
546,sh600381,ST春天
547,sh600382,广东明珠
548,sh600383,金地集团
549,sh600386,北巴传媒
550,sh600387,*ST海越
551,sh600388,龙净环保
552,sh600389,江山股份
553,sh600390,五矿资本
554,sh600391,航发科技
555,sh600392,盛和资源
556,sh600395,盘江股份
557,sh600396,金山股份
558,sh600397,安源煤业
559,sh600398,海澜之家
560,sh600399,抚顺特钢
561,sh600400,红豆股份
562,sh600403,大有能源
563,sh600405,动力源
564,sh600406,国电南瑞
565,sh600408,安泰集团
566,sh600409,三友化工
567,sh600410,华胜天成
568,sh600415,小商品城
569,sh600416,湘电股份
570,sh600418,江淮汽车
571,sh600419,天润乳业
572,sh600420,国药现代
573,sh600421,华嵘控股
574,sh600422,昆药集团
575,sh600423,柳化股份
576,sh600425,青松建化
577,sh600426,华鲁恒升
578,sh600428,中远海特
579,sh600429,三元股份
580,sh600433,冠豪高新
581,sh600435,XD北方导
582,sh600436,片仔癀
583,sh600438,通威股份
584,sh600439,瑞贝卡
585,sh600444,国机通用
586,sh600446,金证股份
587,sh600448,华纺股份
588,sh600449,宁夏建材
589,sh600452,涪陵电力
590,sh600455,博通股份
591,sh600456,宝钛股份
592,sh600458,时代新材
593,sh600459,贵研铂业
594,sh600460,士兰微
595,sh600461,洪城环境
596,sh600462,*ST九有
597,sh600463,空港股份
598,sh600467,好当家
599,sh600468,百利电气
600,sh600469,风神股份
601,sh600470,六国化工
602,sh600475,华光环能
603,sh600476,湘邮科技
604,sh600477,杭萧钢构
605,sh600478,科力远
606,sh600479,千金药业
607,sh600480,凌云股份
608,sh600481,双良节能
609,sh600482,中国动力
610,sh600483,福能股份
611,sh600486,扬农化工
612,sh600487,亨通光电
613,sh600488,津药药业
614,sh600489,中金黄金
615,sh600490,鹏欣资源
616,sh600491,龙元建设
617,sh600493,凤竹纺织
618,sh600495,晋西车轴
619,sh600496,精工钢构
620,sh600497,驰宏锌锗
621,sh600498,烽火通信
622,sh600499,科达制造
623,sh600500,中化国际
624,sh600501,航天晨光
625,sh600502,安徽建工
626,sh600503,华丽家族
627,sh600505,西昌电力
628,sh600506,统一股份
629,sh600507,方大特钢
630,sh600508,上海能源
631,sh600509,天富能源
632,sh600510,黑牡丹
633,sh600511,国药股份
634,sh600512,XD腾达建
635,sh600513,联环药业
636,sh600515,海南机场
637,sh600516,方大炭素
638,sh600517,国网英大
639,sh600518,ST康美
640,sh600519,贵州茅台
641,sh600520,文一科技
642,sh600521,华海药业
643,sh600522,中天科技
644,sh600523,贵航股份
645,sh600525,长园集团
646,sh600526,菲达环保
647,sh600527,江南高纤
648,sh600528,中铁工业
649,sh600529,山东药玻
650,sh600530,交大昂立
651,sh600531,豫光金铅
652,sh600533,栖霞建设
653,sh600535,天士力
654,sh600536,中国软件
655,sh600537,亿晶光电
656,sh600538,国发股份
657,sh600539,狮头股份
658,sh600540,新赛股份
659,sh600543,*ST莫高
660,sh600545,卓郎智能
661,sh600546,山煤国际
662,sh600547,山东黄金
663,sh600548,深高速
664,sh600549,厦门钨业
665,sh600550,保变电气
666,sh600551,时代出版
667,sh600552,凯盛科技
668,sh600556,天下秀
669,sh600557,康缘药业
670,sh600558,大西洋
671,sh600559,老白干酒
672,sh600560,金自天正
673,sh600561,江西长运
674,sh600562,国睿科技
675,sh600563,法拉电子
676,sh600565,ST迪马
677,sh600566,济川药业
678,sh600567,山鹰国际
679,sh600568,ST中珠
680,sh600569,安阳钢铁
681,sh600570,恒生电子
682,sh600571,信雅达
683,sh600572,康恩贝
684,sh600573,惠泉啤酒
685,sh600575,淮河能源
686,sh600576,祥源文旅
687,sh600577,精达股份
688,sh600578,京能电力
689,sh600579,克劳斯
690,sh600580,卧龙电驱
691,sh600581,八一钢铁
692,sh600582,天地科技
693,sh600583,海油工程
694,sh600584,长电科技
695,sh600585,海螺水泥
696,sh600586,金晶科技
697,sh600587,新华医疗
698,sh600588,用友网络
699,sh600589,广东榕泰
700,sh600590,泰豪科技
701,sh600592,龙溪股份
702,sh600593,大连圣亚
703,sh600594,益佰制药
704,sh600595,中孚实业
705,sh600596,新安股份
706,sh600597,XD光明乳
707,sh600598,北大荒
708,sh600599,ST熊猫
709,sh600600,青岛啤酒
710,sh600601,方正科技
711,sh600602,XD云赛智
712,sh600603,广汇物流
713,sh600604,市北高新
714,sh600605,汇通能源
715,sh600606,绿地控股
716,sh600608,ST沪科
717,sh600609,金杯汽车
718,sh600610,中毅达
719,sh600611,大众交通
720,sh600612,老凤祥
721,sh600613,神奇制药
722,sh600615,丰华股份
