,name,cname,symbol,category
178,"MercadoLibre, Inc.","MercadoLibre, Inc.",MELI,互联网
179,General Dynamics Corp.,通用动力,GD,航空航天/国防
180,Equinor ASA,Equinor ASA,EQNR,
181,Duke Energy Corp.,杜克能源公司,DUK,电力
182,"Zoetis, Inc.","Zoetis, Inc.",ZTS,
183,"Intercontinental Exchange, Inc.",洲际交易所,ICE,多元化金融服务
184,Colgate-Palmolive Co.,高露洁棕榄有限公司,CL,
185,Canadian National Railway Co.,加拿大国家铁路公司,CNI,运输
186,McKesson Corp.,麦克森公司,MCK,制药
187,"Altria Group, Inc.",奥驰亚集团公司,MO,农业
188,CVS Health Corp.,西维斯健康,CVS,
189,Thomson Reuters Corp.,汤森路透,TRI,
190,The Sherwin-Williams Co.,宣伟公司,SHW,化学制品
191,"Enbridge, Inc.",安桥公司,ENB,
192,Trane Technologies Plc,Trane Technologies Plc,TT,
193,Moody's Corp.,穆迪公司,MCO,商业服务
194,United Technologies Corp.,联合技术公司,UTX,航空航天/国防
195,Ferrari NV,法拉利汽车公司,RACE,
196,Infosys Ltd.,印孚瑟斯技术公司,INFY,
197,Diageo Plc,帝亚吉欧公司,DEO,饮料
198,"Equinix, Inc.",易昆尼克斯公司,EQIX,互联网
199,Canadian Natural Resources Ltd.,加拿大自然资源公司,CNQ,
200,"TransDigm Group, Inc.","TransDigm Group, Inc.",TDG,
201,Banco Santander SA,桑坦德银行,SAN,银行
202,Canadian Pacific Kansas City Ltd.,加拿大太平洋铁路,CP,
203,"CME Group, Inc.",美国芝加哥商品交易所集团,CME,
204,Cintas Corp.,信达思公司,CTAS,纺织品
205,"Fiserv, Inc.",费哲公司,FISV,软件
206,Illinois Tool Works Inc.,伊利诺工具集团,ITW,
207,ABB Ltd.,阿西布朗勃法瑞公司,ABB,
208,"Freeport-McMoRan, Inc.",弗里波特-麦克莫兰铜金公司,FCX,采矿
209,NXP Semiconductors NV,恩智浦,NXPI,半导体
210,"Ecolab, Inc.",艺康集团,ECL,化学制品
211,"Marriott International, Inc.",万豪国际,MAR,住宿
212,British American Tobacco plc,英美烟草公司,BTI,农业
213,"EOG Resources, Inc.",依欧格资源公司,EOG,
214,Constellation Energy Corp.,Constellation Energy Corp.,CEG,电力
215,"Becton, Dickinson & Co.",碧迪公司,BDX,医疗保健产品
216,Brookfield Corp.,Brookfield Corp.,BN,
217,Vanguard FTSE Emerging Markets ETF,新兴市场ETF-Vanguard MSCI,VWO,股权
218,"Apollo Global Management, Inc.",阿波罗全球管理,APO,私募股权投资
219,Target Corp.,塔吉特公司,TGT,零售
220,Parker-Hannifin Corp.,派克汉尼汾,PH,
221,Aon Plc,怡安保险,AON,保险
222,"PayPal Holdings, Inc.",PayPal,PYPL,
223,"Marvell Technology, Inc.",迈威尔科技,MRVL,半导体
224,CSX Corp.,CSX运输,CSX,
225,Northrop Grumman Corp.,诺斯洛普&#8226;格鲁门公司,NOC,航空航天/国防
226,"Motorola Solutions, Inc.",摩托罗拉系统公司,MSI,计算机硬件
227,iPath Series B S&P 500 VIX Short-Term Futures ETN,iPath Series B S&P 500 VIX Short-Term Futures ETN,VXXB,
228,"Welltower, Inc.","Welltower, Inc.",WELL,
229,Spotify Technology SA,Spotify Technology SA,SPOT,
230,Vanguard Dividend Appreciation Index Fund,股利增长指数ETF-Vanguard,VIG,股权
231,Enterprise Products Partners LP,Enterprise Products Partners LP,EPD,
232,SLB,斯伦贝谢公司,SLB,
233,"Air Products & Chemicals, Inc.",空气化工产品有限公司,APD,化学制品
234,Stellantis NV,Stellantis NV,STLA,
235,Bank of Montreal,蒙特利尔银行,BMO,银行
236,Emerson Electric Co.,美国艾默生电气公司,EMR,电力组件与设备
237,FedEx Corp.,联邦快递集团,FDX,
238,U.S. Bancorp,美国合众银行,USB,银行
239,"The PNC Financial Services Group, Inc.",PNC金融服务集团,PNC,银行
240,"Coinbase Global, Inc.","Coinbase Global, Inc.",COIN,
241,Marathon Petroleum Corp.,马拉松石油公司,MPC,
242,"NetEase, Inc.",网易,NTES,媒体内容
243,iShares Core S&P Small Cap ETF,标普小型股600指数ETF-iShares,IJR,股权
244,"Republic Services, Inc.",共和服务公司,RSG,
245,"O'Reilly Automotive, Inc.",奥莱利汽车公司,ORLY,
246,iShares Core MSCI Emerging Markets ETF,iShares 核心MSCI新兴市场 ETF,IEMG,股权
247,"Roper Technologies, Inc.",儒博实业,ROP,机械-多元
248,"Dell Technologies, Inc.","Dell Technologies, Inc.",DVMT,
249,Carrier Global Corp.,Carrier Global Corp.,CARR,
